Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Navigation,Chrome 90.0.4430.93,,,2021-05-10 23:36:59,2021-05-10 23:42:04,5m - 5.418s,FAILED
,,,,,,,
Test Cases/ProfilePage(PressingOnImage),Chrome 90.0.4430.93,,,2021-05-10 23:37:01,2021-05-10 23:37:30,28.955s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-10 23:37:02,2021-05-10 23:37:06,4.005s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-10 23:37:06,2021-05-10 23:37:10,4.461s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:37:10,2021-05-10 23:37:11,1.066s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-10 23:37:11,2021-05-10 23:37:13,1.291s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:37:13,2021-05-10 23:37:14,1.009s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-10 23:37:14,2021-05-10 23:37:16,2.494s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:37:16,2021-05-10 23:37:17,1.013s,PASSED
"setText(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-10 23:37:17,2021-05-10 23:37:18,0.904s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:37:18,2021-05-10 23:37:19,1.019s,PASSED
